,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,outcome,treated,matched,true_effect
0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,-28.44803803155937,0,0,0.0
1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-41.2670509267643,0,0,0.0
2,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,7.2332861756875895,0,0,0.0
3,3,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,-4.496155675996466,0,0,0.0
4,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-31.240901391318037,0,0,0.0
5,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-38.47418756700563,0,0,0.0
6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-33.220798084804834,0,0,0.0
7,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.2332861756875895,0,0,0.0
8,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.772760053245467,0,0,0.0
9,9,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,-28.44803803155937,0,0,0.0
10,10,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,-31.240901391318037,0,0,0.0
11,11,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,-38.47418756700563,0,0,0.0
12,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-13.035407170150716,0,0,0.0
13,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-14.52230521144272,0,0,0.0
14,14,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,-21.971985662076108,0,0,0.0
15,15,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,-19.51145953963398,0,0,0.0
16,16,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-16.718596179875313,0,0,0.0
17,17,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.2332861756875895,0,0,0.0
18,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.026149535446255,0,0,0.0
19,19,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1.7032923162377998,0,0,0.0
20,20,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-2.792863359758666,0,0,0.0
21,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-10.24254381039205,0,0,0.0
22,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4760523694832655,0,0,0.0
23,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-9.268915729241932,0,0,0.0
24,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-2.792863359758666,0,0,0.0
25,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.50220190492952,0,0,0.0
26,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-4.496155675996466,0,0,0.0
27,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13.709338545170855,0,0,0.0
28,28,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,-24.764849021834774,0,0,0.0
29,29,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,-19.51145953963398,0,0,0.0
30,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-36.013661444563496,0,0,0.0
31,31,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-10.24254381039205,0,0,0.0
32,32,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.026149535446255,0,0,0.0
33,33,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,-14.52230521144272,0,0,0.0
34,34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16.50220190492952,0,0,0.0
35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-10.24254381039205,0,0,0.0
36,36,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.9798966934868005,0,0,0.0
