,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,outcome,treated,matched,true_effect
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-41.79327820656135,0,0,0.0
1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-18.418015377742346,0,0,0.0
2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.807636185532611,0,0,0.0
3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-15.10558862324802,0,0,0.0
4,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-21.04699120763913,0,0,0.0
5,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-28.665452717746412,0,0,0.0
6,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-32.77972884393049,0,0,0.0
7,7,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-34.85975414887071,0,0,0.0
8,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-12.918255586653515,0,0,0.0
9,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-12.46536555115807,0,0,0.0
10,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-38.386725462754775,0,0,0.0
11,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.213100608222177,0,0,0.0
12,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-41.17132047258779,0,0,0.0
13,13,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,-7.283443812261566,0,0,0.0
14,14,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,5.028305404822977,0,0,0.0
15,15,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-2.865608744589708,0,0,0.0
16,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-20.98762982162988,0,0,0.0
17,17,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,11.387525314136838,0,0,0.0
18,18,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,13.353060572226777,0,0,0.0
19,19,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,-32.50270735747856,0,0,0.0
20,20,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-20.96357503123165,0,0,0.0
21,21,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,-40.297300330187724,0,0,0.0
22,22,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-27.063419612483205,0,0,0.0
23,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6.574287872015533,0,0,0.0
24,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.20450173317518,0,0,0.0
25,25,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,-7.959294563116739,0,0,0.0
26,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.357255645850084,0,0,0.0
27,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9.967951816049831,0,0,0.0
28,28,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,-27.967465986768815,0,0,0.0
29,29,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,-47.193252578331716,0,0,0.0
30,30,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,-13.540523789756238,0,0,0.0
31,31,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-13.095109150671886,0,0,0.0
32,32,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-20.30874041267706,0,0,0.0
33,33,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,-16.73398182253427,0,0,0.0
