,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,outcome,treated,matched,true_effect
0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,25.156246963675052,0,0,0.0
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,37.958839216805046,0,0,0.0
2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,40.37314407709355,0,0,0.0
3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,20.89185689041762,0,0,0.0
4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,32.23693796126814,0,0,0.0
5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,34.248015382450696,0,0,0.0
6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11.56194972354872,0,0,0.0
7,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,17.195659565831882,0,0,0.0
8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,25.338792989243306,0,0,0.0
9,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,22.02020285360522,0,0,0.0
10,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,48.25225234079889,0,0,0.0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.235702838513252,0,0,0.0
12,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,35.1316514457544,0,0,0.0
13,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,33.96083139497107,0,0,0.0
14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,46.09828213029668,0,0,0.0
15,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,39.202761019003,0,0,0.0
16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.92433939645561,0,0,0.0
17,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,46.784236161377166,0,0,0.0
18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.886066566644285,0,0,0.0
19,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,34.129691568320105,0,0,0.0
20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.478143059389026,0,0,0.0
21,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,39.85647504228767,0,0,0.0
22,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,21.62847216982146,0,0,0.0
23,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,28.31906868279058,0,0,0.0
24,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,20.317583862435136,0,0,0.0
25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15.95804464705802,0,0,0.0
26,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,24.847868192776485,0,0,0.0
27,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.7764336750460785,0,0,0.0
28,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,50.25955508599606,0,0,0.0
29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.397721290909711,0,0,0.0
30,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,12.595594583166154,0,0,0.0
31,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.4936013370941392,0,0,0.0
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.086956379626473,0,0,0.0
33,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,28.618308546638907,0,0,0.0
34,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,30.972311895657644,0,0,0.0
35,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,42.38377154474442,0,0,0.0
36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.8108180915634609,0,0,0.0
37,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,16.85452021710188,0,0,0.0
38,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40.97040622890352,0,0,0.0
39,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,58.24810000368919,0,0,0.0
40,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.427210125529287,0,0,0.0
41,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,46.20939358795235,0,0,0.0
42,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,32.582773917085646,0,0,0.0
43,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,47.28489715483901,0,0,0.0
44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25.70205813688149,0,0,0.0
