,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,outcome,treated,matched,true_effect
0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,66.66861787164439,0,0,0.0
1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-26.428942506160293,0,0,0.0
2,2,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,39.550637795217696,0,0,0.0
3,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,-33.70114429643118,0,0,0.0
4,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-19.435379609716236,0,0,0.0
5,5,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,11.353659791431152,0,0,0.0
6,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,20.481436174194137,0,0,0.0
7,7,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,-5.649509330713453,0,0,0.0
8,8,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,-41.134443882000895,0,0,0.0
9,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-45.808318258867736,0,0,0.0
10,10,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-34.516697939515964,0,0,0.0
11,11,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,-40.06589135151265,0,0,0.0
12,12,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-22.32681050922877,0,0,0.0
13,13,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,-47.074946836733304,0,0,0.0
14,14,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,16.190164836452276,0,0,0.0
15,15,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,-25.834402432643223,0,0,0.0
16,16,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,-53.06960839384778,0,0,0.0
17,17,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,-42.95537466187435,0,0,0.0
18,18,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,14.4792751933584,0,0,0.0
19,19,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,-23.829982048608453,0,0,0.0
20,20,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,-53.49910998039315,0,0,0.0
21,21,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,-5.6151780007993555,0,0,0.0
22,22,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,19.09089637479905,0,0,0.0
23,23,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,20.628900725339808,0,0,0.0
24,24,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,28.786533845435233,0,0,0.0
25,25,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,-4.429098677359065,0,0,0.0
26,26,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,4.238189741622094,0,0,0.0
27,27,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,-60.17977252074082,0,0,0.0
28,28,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,18.759473968207118,0,0,0.0
29,29,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,5.999977377620675,0,0,0.0
30,30,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,11.198410408216938,0,0,0.0
31,31,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,-43.34675613665411,0,0,0.0
32,32,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,23.41095172367756,0,0,0.0
33,33,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,-15.778529679957131,0,0,0.0
34,34,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,13.533940996017794,0,0,0.0
35,35,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,55.223820439905246,0,0,0.0
36,36,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,-19.999187166918798,0,0,0.0
37,37,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,21.172080064425963,0,0,0.0
38,38,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,36.166349470445425,0,0,0.0
39,39,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,25.39932248623716,0,0,0.0
40,40,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,-1.5904405892528004,0,0,0.0
41,41,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,35.736830852458496,0,0,0.0
42,42,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-33.15957127731046,0,0,0.0
43,43,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,9.913466243938103,0,0,0.0
44,44,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,-25.79447526794448,0,0,0.0
45,45,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,24.577183742548186,0,0,0.0
46,46,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,-50.9966315934159,0,0,0.0
47,47,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,13.174822715410226,0,0,0.0
48,48,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,16.06625361492276,0,0,0.0
49,49,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,15.053487956933239,0,0,0.0
50,50,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,-69.20657626145285,0,0,0.0
51,51,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,12.548258206892315,0,0,0.0
52,52,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-18.229872311205533,0,0,0.0
53,53,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,-23.415211401574847,0,0,0.0
54,54,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,59.573994715016596,0,0,0.0
55,55,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,-6.642560179070287,0,0,0.0
56,56,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,-56.6693069389117,0,0,0.0
57,57,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,27.25240966364819,0,0,0.0
58,58,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,-7.292838909630273,0,0,0.0
59,59,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,-54.23814076031836,0,0,0.0
60,60,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,-21.614918283147922,0,0,0.0
61,61,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,-33.70114429643118,0,0,0.0
62,62,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,-29.265608199586325,0,0,0.0
63,63,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,-24.67787048897603,0,0,0.0
64,64,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,20.942597868620634,0,0,0.0
65,65,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,-18.732708795296695,0,0,0.0
66,66,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,-5.6151780007993555,0,0,0.0
67,67,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,42.74062885148284,0,0,0.0
68,68,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,64.52237559782884,0,0,0.0
69,69,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,28.16564296087002,0,0,0.0
70,70,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,19.730378470081213,0,0,0.0
71,71,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,-19.540455594792707,0,0,0.0
72,72,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,14.559770319223663,0,0,0.0
73,73,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,11.461459940043007,0,0,0.0
74,74,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-22.32681050922877,0,0,0.0
75,75,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-11.460507005025807,0,0,0.0
76,76,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,-54.93609650493961,0,0,0.0
77,77,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,-25.020030862513128,0,0,0.0
78,78,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,6.5784407588276945,0,0,0.0
79,79,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,41.77024827345126,0,0,0.0
80,80,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,-18.188259345520006,0,0,0.0
81,81,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,-19.33816052410461,0,0,0.0
82,82,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,-25.30992868568386,0,0,0.0
83,83,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,17.953773077353542,0,0,0.0
84,84,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,-20.84271195785498,0,0,0.0
85,85,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,38.3946027962012,0,0,0.0
86,86,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,-22.225533264534967,0,0,0.0
87,87,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,-5.6151780007993555,0,0,0.0
88,88,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,-4.429098677359065,0,0,0.0
89,89,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,-0.2031721964714599,0,0,0.0
90,90,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-7.245492179429046,0,0,0.0
91,91,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,-0.8248504047292169,0,0,0.0
92,92,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,-30.060665486225055,0,0,0.0
93,93,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-6.046473042543706,0,0,0.0
94,94,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,76.9228847121899,0,0,0.0
95,95,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,4.716822612324695,0,0,0.0
96,96,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,8.944672657023231,0,0,0.0
