"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","outcome","treated","matched","true_effect"
"1",1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,66.6686178716444,0,0,0
"2",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-26.4289425061603,0,0,0
"3",0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,39.5506377952177,0,0,0
"4",1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,-33.7011442964312,0,0,0
"5",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-19.4353796097162,0,0,0
"6",1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,11.3536597914312,0,0,0
"7",0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,20.4814361741941,0,0,0
"8",0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,-5.64950933071345,0,0,0
"9",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,-41.1344438820009,0,0,0
"10",0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-45.8083182588677,0,0,0
"11",0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-34.516697939516,0,0,0
"12",1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,-40.0658913515126,0,0,0
"13",1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-22.3268105092288,0,0,0
"14",0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,-47.0749468367333,0,0,0
"15",0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,16.1901648364523,0,0,0
"16",1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,-25.8344024326432,0,0,0
"17",0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,-53.0696083938478,0,0,0
"18",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,-42.9553746618744,0,0,0
"19",1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,14.4792751933584,0,0,0
"20",1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,-23.8299820486085,0,0,0
"21",0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,-53.4991099803932,0,0,0
"22",0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,-5.61517800079936,0,0,0
"23",0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,19.0908963747991,0,0,0
"24",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,20.6289007253398,0,0,0
"25",1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,28.7865338454352,0,0,0
"26",0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,-4.42909867735906,0,0,0
"27",0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,4.23818974162209,0,0,0
"28",0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,-60.1797725207408,0,0,0
"29",0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,18.7594739682071,0,0,0
"30",0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,5.99997737762067,0,0,0
"31",1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,11.1984104082169,0,0,0
"32",1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,-43.3467561366541,0,0,0
"33",1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,23.4109517236776,0,0,0
"34",1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,-15.7785296799571,0,0,0
"35",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,13.5339409960178,0,0,0
"36",1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,55.2238204399052,0,0,0
"37",0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,-19.9991871669188,0,0,0
"38",0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,21.172080064426,0,0,0
"39",1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,36.1663494704454,0,0,0
"40",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,25.3993224862372,0,0,0
"41",1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,-1.5904405892528,0,0,0
"42",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,35.7368308524585,0,0,0
"43",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-33.1595712773105,0,0,0
"44",1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,9.9134662439381,0,0,0
"45",0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,-25.7944752679445,0,0,0
"46",1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,24.5771837425482,0,0,0
"47",1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,-50.9966315934159,0,0,0
"48",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,13.1748227154102,0,0,0
"49",0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,16.0662536149228,0,0,0
"50",1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,15.0534879569332,0,0,0
"51",1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,-69.2065762614529,0,0,0
"52",0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,12.5482582068923,0,0,0
"53",0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,-18.2298723112055,0,0,0
"54",1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,-23.4152114015748,0,0,0
"55",1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,59.5739947150166,0,0,0
"56",0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,-6.64256017907029,0,0,0
"57",1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,-56.6693069389117,0,0,0
"58",0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,27.2524096636482,0,0,0
"59",1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,-7.29283890963027,0,0,0
"60",1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,-54.2381407603184,0,0,0
"61",1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,-21.6149182831479,0,0,0
"62",1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,-33.7011442964312,0,0,0
"63",1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,-29.2656081995863,0,0,0
"64",1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,-24.677870488976,0,0,0
"65",1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,20.9425978686206,0,0,0
"66",1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,-18.7327087952967,0,0,0
"67",0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,-5.61517800079936,0,0,0
"68",0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,42.7406288514828,0,0,0
"69",0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,64.5223755978288,0,0,0
"70",0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,28.16564296087,0,0,0
"71",0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,19.7303784700812,0,0,0
"72",1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,-19.5404555947927,0,0,0
"73",1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,14.5597703192237,0,0,0
"74",0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,11.461459940043,0,0,0
"75",1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-22.3268105092288,0,0,0
"76",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-11.4605070050258,0,0,0
"77",0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,-54.9360965049396,0,0,0
"78",1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,-25.0200308625131,0,0,0
"79",0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,6.57844075882769,0,0,0
"80",0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,41.7702482734513,0,0,0
"81",1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,-18.18825934552,0,0,0
"82",1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,-19.3381605241046,0,0,0
"83",0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,-25.3099286856839,0,0,0
"84",1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,17.9537730773535,0,0,0
"85",1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,-20.842711957855,0,0,0
"86",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,38.3946027962012,0,0,0
"87",0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,-22.225533264535,0,0,0
"88",0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,-5.61517800079936,0,0,0
"89",0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,-4.42909867735906,0,0,0
"90",0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,-0.20317219647146,0,0,0
"91",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-7.24549217942905,0,0,0
"92",1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,-0.824850404729217,0,0,0
"93",1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,-30.0606654862251,0,0,0
"94",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-6.04647304254371,0,0,0
"95",0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,76.9228847121899,0,0,0
"96",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,4.71682261232469,0,0,0
"97",1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,8.94467265702323,0,0,0
"98",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.0723117585045,0,0,0
"99",1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,20.2137264105821,0,0,0
"100",0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,-28.8850626390357,0,0,0
"101",1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,-23.4220726505589,0,0,0
"102",0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,24.8447238458506,0,0,0
"103",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,5.07136714002643,0,0,0
"104",1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,29.4098867944103,0,0,0
"105",0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,38.2917868794577,0,0,0
"106",0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,36.7124504241309,0,0,0
"107",1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,55.9531833902427,0,0,0
"108",1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,33.6701750076921,0,0,0
"109",1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,21.7929709489912,0,0,0
"110",0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,-11.189381624917,0,0,0
